Coef	SE	P	N	Met	CpG	grp	Gene	stat_sig
-0.159700334836959	0.0239516007969633	3.55297074718054e-11	1643	XL.VLDL.P	cg00574958	VLDL	CPT1A	kora_only
-0.0146701838536306	0.0249663422917495	0.55688349546878	1645	XL.VLDL.P	cg00603274	VLDL	FADS2	
-0.00704809719052901	0.0229219315622779	0.758515470775654	1642	XL.VLDL.P	cg01400685	VLDL	FADS2	
-0.0711468632683052	0.0266226544754309	0.00760592642518644	1646	XL.VLDL.P	cg02711608	VLDL	SLC1A5	
0.01837942648513	0.0243722441432775	0.450895467002135	1576	XL.VLDL.P	cg03440556	VLDL	SCD	
0.170716400587038	0.0249576899364251	1.11540047291087e-11	1647	XL.VLDL.P	cg06500161	VLDL	ABCG1	replicated
-0.0742209743294625	0.0246236404437305	0.00261659859096375	1634	XL.VLDL.P	cg06690548	VLDL	SLC7A11	
-0.0375911896305452	0.0296916492148129	0.205675719717627	1645	XL.VLDL.P	cg06781209	VLDL	FADS2	
0.102887809325766	0.0248403526045783	3.62030935995508e-05	1646	XL.VLDL.P	cg07504977	VLDL	LINC00263	
-0.0374523008129983	0.0245518300592928	0.127344176549798	1647	XL.VLDL.P	cg07626482	VLDL	SLC1A5	
-0.0384710108952183	0.0241901269831074	0.111949151039998	1637	XL.VLDL.P	cg07689907	VLDL	FADS1	
0.110583657924883	0.0271939778141429	5.00120647200319e-05	1646	XL.VLDL.P	cg11024682	VLDL	SREBF1	
-0.055335773845671	0.0263654387136525	0.0359886386486973	1644	XL.VLDL.P	cg11250194	VLDL	FADS2	
-0.0930001536104016	0.0247757297063204	0.000180506892343776	1615	XL.VLDL.P	cg14476101	VLDL	PHGDH	
0.0706084290265942	0.0239167917833675	0.00319997770443844	1642	XL.VLDL.P	cg15863539	VLDL	SREBF1	
-0.0676716565782812	0.0236317698096142	0.0042425499909529	1643	XL.VLDL.P	cg16246545	VLDL	PHGDH	
-0.101684041518718	0.0318642463863481	0.00144403429597122	1648	XL.VLDL.P	cg17901584	VLDL	DHCR24	
-0.0550396863962504	0.0230095800952448	0.0168687903178523	1639	XL.VLDL.P	cg19610905	VLDL	FADS2	
